"Name","Alias","Barcode","Coordinate","Reception Date","Source","Species","Volume (ul)","Reception Concentration (ng/ul)","Measured Concentration (ng/ul)","Quantity (ng)","Review State","QC Date","Number of Bases","Number of Reads HiSeq","Array Technology Quote","MPS Quote","Bioinformatics Quote","Validation Quote"
"01-06-08-litt","01-06-08-litt","MPS12300599","H01","2016-07-08","gDNA","Bacteria_Phage","36","1.7","1.8","62.6","Approved (client)","7/20/16","2,549,665,750","10,198,663","","SCI016297; SCI016296","",""
"02-08-06-st1","02-08-06-st1","MPS12300599","B01","2016-07-08","gDNA","Bacteria_Phage","37","1.7","1.9","69.0","Approved (client)","7/20/16","2,210,619,250","8,842,477","","SCI016297; SCI016296","",""
"02-08-06-st2","02-08-06-st2","MPS12300599","C01","2016-07-08","gDNA","Bacteria_Phage","38","1.7","1.9","72.2","Approved (client)","7/20/16","2,521,447,000","10,085,788","","SCI016297; SCI016296","",""
"04-08-08-st1","04-08-08-st1","MPS12300599","A02","2016-07-08","gDNA","Bacteria_Phage","26","1.7","1.3","34.5","Approved (client)","7/20/16","2,523,222,250","10,092,889","","SCI016297; SCI016296","",""
"04-08-08-st2","04-08-08-st2","MPS12300599","B02","2016-07-08","gDNA","Bacteria_Phage","34","1.7","1.7","56.9","Approved (client)","7/20/16","2,964,844,500","11,859,378","","SCI016297; SCI016296","",""
"05-05-10-st2","05-05-10-st2","MPS12300599","B03","2016-07-08","gDNA","Bacteria_Phage","35","1.7","1.7","60.7","Approved (client)","7/20/16","2,016,988,750","8,067,955","","SCI016297; SCI016296","",""
"05-06-13-st1","05-06-13-st1","MPS12300599","A05","2016-07-08","gDNA","Bacteria_Phage","51","1.7","3.9","197.0","Approved (client)","7/20/16","2,847,981,250","11,391,925","","SCI016297; SCI016296","",""
"05-08-15-litt","05-08-15-litt","MPS12300599","G05","2016-07-08","gDNA","Bacteria_Phage","53","1.7","4.6","245.7","Approved (client)","7/20/16","2,176,127,250","8,704,509","","SCI016297; SCI016296","",""
"06-08-15-litt","06-08-15-litt","MPS12300599","H05","2016-07-08","gDNA","Bacteria_Phage","53","1.7","4.5","235.4","Approved (client)","7/20/16","2,572,096,000","10,288,384","","SCI016297; SCI016296","",""
"08-07-09-st2","08-07-09-st2","MPS12300599","F02","2016-07-08","gDNA","Bacteria_Phage","41","1.7","2.2","91.4","Approved (client)","7/20/16","2,378,327,750","9,513,311","","SCI016297; SCI016296","",""
"09-08-11-st1","09-08-11-st1","MPS12300599","G03","2016-07-08","gDNA","Bacteria_Phage","47","1.7","2.9","136.2","Approved (client)","7/20/16","2,798,250,750","11,193,003","","SCI016297; SCI016296","",""
"10-Alessandra","10-Alessandra","MPS12300599","B06","2016-07-08","gDNA","Cyanobacteria","31","1.7","1.5","47.9","Approved (client)","7/20/16","2,165,878,500","8,663,514","","SCI016297; SCI016296","",""
"12-09-06-st1","12-09-06-st1","MPS12300599","E01","2016-07-08","gDNA","Bacteria_Phage","38","1.7","1.9","74.2","Approved (client)","7/20/16","5,833,645,000","23,334,580","","SCI016297; SCI016296","",""
"12-09-11-st2","12-09-11-st2","MPS12300599","A04","2016-07-08","gDNA","Bacteria_Phage","39","1.7","2.0","76.1","Approved (client)","7/20/16","2,411,463,250","9,645,853","","SCI016297; SCI016296","",""
"12-10-11-st2","12-10-11-st2","MPS12300599","B04","2016-07-08","gDNA","Bacteria_Phage","43","1.7","2.3","99.8","Approved (client)","7/20/16","2,236,361,000","8,945,444","","SCI016297; SCI016296","",""
"13-Alessandra","13-Alessandra","MPS12300599","C06","2016-07-08","gDNA","Cyanobacteria","","1.7","0.3","","Approved (client)","7/20/16","2,010,575,750","8,042,303","","SCI016297; SCI016296","",""
"14-08-12-st1","14-08-12-st1","MPS12300599","E04","2016-07-08","gDNA","Bacteria_Phage","45","1.7","2.7","121.5","Approved (client)","7/20/16","2,079,798,250","8,319,193","","SCI016297; SCI016296","",""
"15-05-11-st1","15-05-11-st1","MPS12300599","F03","2016-07-08","gDNA","Bacteria_Phage","31","1.7","1.5","47.9","Approved (client)","7/20/16","2,428,728,250","9,714,913","","SCI016297; SCI016296","",""
"15-08-06-st2","15-08-06-st2","MPS12300599","D01","2016-07-08","gDNA","Bacteria_Phage","2","1.7","0.8","1.2","Approved (client)","7/20/16","1,995,506,750","7,982,027","","SCI016297; SCI016296","",""
"17-09-12-st1","17-09-12-st1","MPS12300599","F04","2016-07-08","gDNA","Bacteria_Phage","44","1.7","2.5","106.8","Approved (client)","7/20/16","2,637,232,750","10,548,931","","SCI016297; SCI016296","",""
"17-09-12-st2","17-09-12-st2","MPS12300599","G04","2016-07-08","gDNA","Bacteria_Phage","49","1.7","3.4","165.7","Approved (client)","7/20/16","2,572,597,750","10,290,391","","SCI016297; SCI016296","",""
"17-09-13-st2","17-09-13-st2","MPS12300599","C05","2016-07-08","gDNA","Bacteria_Phage","40","1.7","2.1","83.8","Approved (client)","7/20/16","8,172,238,750","32,688,955","","SCI016297; SCI016296","",""
